Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Li Zhongchu,60,$1.6B,Technology,Software,"chairman, founder",Beijing Shiji Information Technology,TRUE,,,"Beijing, China",China,M,Married,N/A,"Bachelor of Arts/Science, Wuhan University"
Lin Fanlian,62,$1.6B,Energy,"Energy, real estate",chairman,Order Group,TRUE,,,"Linyi, China",China,M,N/A,N/A,N/A
Liu Xiaodong,56,$1.6B,Manufacturing,Flavorings,artist,N/A,TRUE,,,"Shanghai, China",China,M,N/A,N/A,"Bachelor of Fine Arts, Central Academy of Fine Arts, Master of Fine Arts, Central Academy of Fine Arts"
Carsten Maschmeyer,64,$1.6B,Finance & Investments,Finance services,"businessman, investor, panel member ,founder and owner",German investment television series Die Höhle der Löwen,TRUE,,,"Munich, Germany",Germany,M,Married,2,N/A
Terence (Terry) Matthews,81,$1.6B,Telecom,Telecom,business magnate,Welsh-Canadian,TRUE,,,"Ottawa, Canada",Canada,M,Married,4,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales"
David McMurtry,83,$1.6B,Manufacturing,Manufacturing,"co-founder, executive chairman","Renishaw plc,",TRUE,,,"Wotton-under-Edge, United Kingdom",United Kingdom,M,Married,3,N/A
Gabriella Meister,N/A,$1.6B,Manufacturing,Appliances,"founder, businesswoman",Siegfried Meister,FALSE,,,"Landsberg am Lech, Germany",Germany,F,Widowed,1,N/A
Ulrike Meister,57,$1.6B,Manufacturing,Appliances,N/A,N/A,FALSE,,,"Landsberg, Germany",Germany,F,N/A,N/A,N/A
Romano Minozzi,89,$1.6B,Diversified,"Utilities, diversified","founder, president",Iris Ceramica Group,TRUE,,,"Spilamberto, Italy",Italy,M,N/A,1,"Bachelor of Commerce, University of Bologna"
Renu Munjal,69,$1.6B,Automotive,Motorcycles,chairman,"Raman Kant Munjal Foundation,",FALSE,,,"Delhi, India",India,F,Widowed,2,N/A
Suman Munjal,71,$1.6B,Automotive,Motorcycles,chairman,leading auto Components Company Rockman Industries Ltd.,FALSE,,,"Delhi, India",India,M,Married,N/A,"Bachelor of Commerce, Punjab University"
Mofatraj Munot,79,$1.6B,Real Estate,Real estate,"president, chairman","Maharashtra Chamber at Housing Industry (MCHI), Kalpataru Group",TRUE,,,"Mumbai, India",India,M,Widowed,3,N/A
Ni Zugen,67,$1.6B,Manufacturing,Appliances,chairman,home appliance maker Kingclean Electronic,TRUE,,,"Suzhou, China",China,M,Married,N/A,N/A
Antonio Percassi,70,$1.6B,Diversified,"Real estate, diversified","president,",holding company Odissea Sr,TRUE,,,"Bergamo, Italy",Italy,M,Divorced,6,N/A
Karl-Johan Persson,49,$1.6B,Fashion & Retail,H&M,"chairman, CEO",fashion company Hennes & Mauritz,FALSE,,,"Stockholm, Sweden",Sweden,M,Married,2,"Bachelor of Arts/Science, London Business School"
Nicholas Pritzker,80,$1.6B,Finance & Investments,"Hotels, investments","chairman, CEO",Hyatt Development Corporation,FALSE,3,2,"Nicasio, California",United States,M,Married,4,"Bachelor of Arts/Science, Lake Forest College; Doctor of Jurisprudence, University of Chicago"
Rao Wei & family,59,$1.6B,Healthcare,Pharmaceuticals,chairman,"Shenzhen New Industries Biomedical Engineering,",TRUE,,,"Shenzhen, China",China,M,N/A,N/A,"Doctorate, Wuhan University of Technology"
Mike Repole,56,$1.6B,Food & Beverage,Sports drink,"founder, businessman, owner",Glaceau,TRUE,,,"Windermere, Florida",United States,M,Married,N/A,"Bachelor of Science, St. John's University"
Chad Richison,53,$1.6B,Technology,Payroll processing,"President , CEO",aycom since its founding,TRUE,9,2,"Edmond, Oklahoma",United States,M,Married,4,"Bachelor of Arts/Science, University of Central Oklahoma"
Kishin RK,40,$1.6B,Real Estate,"Real estate, hotels","Founder ,CEO",RB Capital Group.,FALSE,,,"Singapore, Singapore",Singapore,M,Married,N/A,"Bachelor of Science (Real Estate), National University of Singapore"
Vinod Saraf,71,$1.6B,Manufacturing,Chemicals,Founder,Vinati Organics,TRUE,,,"Mumbai, India",India,M,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani"
Dhruv Sawhney,79,$1.6B,Construction & Engineering,"Engineering, sugar",chairman,The Triveni Group comprising of Triveni Turbine Ltd. and Triveni Engineering and Industries Ltd,FALSE,,,"Dubai, United Arab Emirates",India,M,Married,2,"Master of Arts/Science, The University of Cambridge; Master of Business Administration, The Wharton School of the University of Pennsylvania"
Shao Qinxiang,69,$1.6B,Manufacturing,Diversified,chairman,Zhejiang Garden Bio-chemical High-tech,TRUE,,,"Hangzhou, China",China,M,Married,N/A,N/A
Yuri Shefler,56,$1.6B,Food & Beverage,Alcohol,businessman,N/A,TRUE,,,"Geneva, Switzerland",Russia,M,Married,4,"Bachelor of Arts/Science, Plekhanov Russian University of Economics"
Nobutoshi Shimamura,98,$1.6B,Fashion & Retail,Retail,N/A,N/A,TRUE,,,"Saitama, Japan",Japan,M,Married,3,N/A
Evgeny (Eugene) Shvidler,60,$1.6B,Metals & Mining,"Metals, investments",businessman,N/A,TRUE,,,"London, United Kingdom",United States,M,Married,5,"Master of Business Administration, Fordham University; Master of Science, Gubkin Institute of Petrochemicals and Natural Gas"
Ron Sim,65,$1.6B,Fashion & Retail,Retail,"business magnate, investor, founder",Osim International,TRUE,,,"Singapore, Singapore",Singapore,M,Married,3,N/A
Leonid Simanovsky,74,$1.6B,Finance & Investments,Investments,businessman,N/A,TRUE,,,"Moscow, Russia",Russia,M,Married,1,"Master of Economics, Kuibyshev Planning Institute"
Dean Solon,59,$1.6B,Energy,Solar systems,"CEO , Founder",Shoals Technologies,TRUE,10,,"Gallatin, Tennessee",United States,M,Married,N/A,"Drop Out, Purdue University"
Konstantin Strukov & family,65,$1.6B,Metals & Mining,"Gold, coal mining",top executive,coal miner,TRUE,,,"Chelyabinsk, Russia",Russia,M,Married,2,"Master of Science, Magnitogorsk Mining and Metallurgical Institute"
David Teoh,68,$1.6B,Telecom,Telecom,executive chairman,TPG,TRUE,,,"Sydney, Australia",Australia,M,Married,4,"Bachelor of Commerce, University of New South Wales"
Laurie Tisch,73,$1.6B,Diversified,"Loews, New York Giants","investor, philanthropist",N/A,FALSE,,,"New York, New York",United States,F,Divorced,2,"Bachelor of Science, University of Michigan"
Steven Tisch,75,$1.6B,Diversified,"Loews, New York Giants","co-owner, executive vice president","New York Giants, NFL team",FALSE,,,"Beverly Hills, California",United States,M,N/A,5,"Bachelor of Arts/Science, Tufts University"
Thomas von Koch,58,$1.6B,Finance & Investments,Asset management,"CEO, Managing Partner , chairperson",EQT Asia Pacific,TRUE,,,"Hong Kong, Hong Kong",Sweden,M,Married,N/A,"Bachelor of Science, Stockholm School of Economics"
Wee Ee Cheong,71,$1.6B,Finance & Investments,Banking,CEO,United Overseas Bank,FALSE,,,"Singapore, Singapore",Singapore,M,Married,N/A,"Bachelor of Arts (Hons), University of Singapore, Masters of Science (Business Studies), London Business School, University of London"
"Alfred West, Jr.",81,$1.6B,Finance & Investments,Money management,Executive Chairman,SEI,TRUE,,,"Paoli, Pennsylvania",United States,M,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School"
Toto Wolff,52,$1.6B,Sports,Sports,CEO,Mercedes AMG Petronas F1 Team,TRUE,,,Monaco,Austria,M,Married,3,"Drop Out, Vienna University"
Wu Kai,56,$1.6B,Energy,Batteries,scientist,"Contemporary Amperex Technology,",TRUE,,,"Ningde, China",China,M,N/A,N/A,"Doctorate, Shanghai Jiao Tong University"
Wu Zhigang & family,89,$1.6B,Food & Beverage,Bakery chain,founder,Shanghai-listed bakery chain Shenyang Toly Bread.,TRUE,,,"Shenyang, China",China,M,Married,3,N/A
Franziska Wuerbser,36,$1.6B,Manufacturing,Kitchen appliances,N/A,N/A,FALSE,,,N/A,Germany,F,Married,N/A,N/A
Xu Yingzhuo,56,$1.6B,Food & Beverage,Agribusiness,"co-founder, director",Guangdong Haid Group,TRUE,,,"Guangzhou, China",China,M,N/A,N/A,"Bachelor of Science, South China Agricultural University, Master of Business Administration, HEC Paris"
Yan Zhi,51,$1.6B,Real Estate,Real estate,advertising executive,Zall Smart Commerce Group,TRUE,,,"Wuhan, China",China,M,Married,N/A,"Master of Business Administration, Wuhan University"
Yao Kuizhang,59,$1.6B,Food & Beverage,Beverages,Chairman,Hebei Yangyuan Zhihui Beverage,TRUE,,,"Hengshui, China",China,M,N/A,N/A,N/A
Yu Lili,56,$1.6B,Manufacturing,Electronic components,vice chairperson,Changsha Jingjia Microelectronics,TRUE,,,"Changsha, China",China,F,Married,N/A,N/A
Yu Qibing & family,58,$1.6B,Manufacturing,Glass,Chairman,Kibing Group,TRUE,,,"Ningbo, China",China,M,N/A,N/A,"Bachelor of Science, East China University of Science and Technology"
Zhang Ning,50,$1.6B,Manufacturing,Chemicals,badminton player,N/A,TRUE,,,"Shanghai, China",Canada,F,N/A,N/A,N/A
Zhao Fenggang,58,$1.6B,Energy,Batteries,vice president,Contemporary Amperex Technology,TRUE,,,"Ningde, China",China,M,N/A,N/A,N/A
Zhou Yahui,47,$1.6B,Media & Entertainment,online games,founder,Kunlun Tech Co Ltd,TRUE,,,"Beijing, China",China,M,Divorced,N/A,"Bachelor of Science, Tsinghua University, Master of Science, Tsinghua University"
Antti Aarnio-Wihuri,84,$1.5B,Diversified,Diversified,businessman,N/A,FALSE,,,"Helsinki, Finland",Finland,M,N/A,N/A,N/A
Manohar Lal Agarwal,69,$1.5B,Food & Beverage,Snacks,Business professional,N/A,FALSE,,,"Delhi, India",India,M,Married,N/A,"Bachelor of Commerce, Bikaner University"
Masaaki Arai,58,$1.5B,Real Estate,Real estate,"founder ,chairman",Tokyo property developer and agent Open House Group,TRUE,,,"Tokyo, Japan",Japan,M,N/A,N/A,N/A
Mori Arkin,71,$1.5B,Healthcare,Pharmaceuticals,"founder ,chairman",Arkin Holdings,TRUE,,,"Herzliya Pituach, Israel",Israel,M,Married,3,"Bachelor of Arts/Science, Tel Aviv University"
John Armitage,64,$1.5B,Finance & Investments,Hedge funds,"co-founder, CEO",Egerton Capital,TRUE,,,"London, United Kingdom",Ireland,M,N/A,N/A,"Bachelor of Arts, Cambridge University"
Barbara Benetton,54,$1.5B,Fashion & Retail,"Fashion retail, investments",founder,Benetton Group,FALSE,,,"Campodoro, Italy",Italy,F,N/A,N/A,N/A
Hari Bhartia,67,$1.5B,Diversified,Diversified,Managing director,Jubilant Life Sciences,FALSE,,,"Delhi, India",India,M,Married,2,"Bachelor of Engineering, Indian Institute of Technology Delhi"
Shyam Bhartia,71,$1.5B,Healthcare,"Pharmaceuticals, food","Founder , Chairman",Jubilant Bhartia Group,FALSE,,,"Delhi, India",India,M,Married,2,"Bachelor of Commerce, St. Xavier's College, Calcutta University"
John Bloor,80,$1.5B,Diversified,"Real estate, manufacturing",owner,Bloor Homes and Triumph Motorcycles.,TRUE,,,"Aberdyfi, United Kingdom",United Kingdom,M,N/A,N/A,N/A
Vladimir Bogdanov,72,$1.5B,Energy,Oil,Businessman,N/A,TRUE,,,"Surgut, Russia",Russia,M,Married,1,"Bachelor of Arts/Science, Tyumen Industrial Institute"
Amit Burman,54,$1.5B,Food & Beverage,Consumer goods,Business professional,N/A,FALSE,,,"Delhi, India",India,M,Married,2,"Master of Science, Columbia University; Master of Business Administration, Judge Business School; Bachelor of Arts/Science, Lehigh University"
Saket Burman,47,$1.5B,Food & Beverage,Consumer goods,founder,Dabur,FALSE,,,"Dubai, United Arab Emirates",United Kingdom,M,Single,N/A,"Bachelor of Business Administration, University of Wisconsin, Madison"
Ahmet Calik,66,$1.5B,Diversified,"Energy, banking, construction",Chairman,Çalık Holding,TRUE,,,"Istanbul, Turkey",Turkey,M,Married,4,N/A
Chey Tae-won,63,$1.5B,Technology,"Oil, semiconductor",Chairperson,SK Group,FALSE,,,"Seoul, South Korea",South Korea,M,Divorced,4,"Bachelor of Arts/Science, Korea University; Master of Science, University of Chicago"
Carmen Daurella Aguilera,N/A,$1.5B,Food & Beverage,Coca-Cola bottler,owner,bottling company Coca-Cola Europacific Partners,FALSE,,,"Barcelona, Spain",Spain,F,Separated,N/A,N/A
Dong Fan,N/A,$1.5B,Healthcare,Medical devices,Chairperson,Jafron Biomedical,TRUE,,,"Zhuhai, China",China,M,N/A,N/A,"Bachelor of Arts/Science, Shanghai University of Finance and Economics; Master of Business Administration, Sun Yat-sen University"
Annalisa Doris,53,$1.5B,Finance & Investments,Financial services,Vice Chairman,Banca Mediolanum SpA since 2015,FALSE,,,"Segrate, Italy",Italy,F,Married,N/A,"Bachelor of Arts/Science, University of Milan"
Massimo Doris,56,$1.5B,Finance & Investments,Financial services,CEO,Banca Mediolanum,FALSE,,,"Milan, Italy",Italy,M,Married,2,"Bachelor of Arts/Science, University of Milan"
Bulent Eczacibasi,74,$1.5B,Diversified,"Pharmaceuticals, diversified","directors, Chairman",Istanbul Foundation for Culture and Arts,FALSE,,,"Istanbul, Turkey",Turkey,M,Married,2,"Bachelor of Arts/Science, Imperial College London; Master of Science, Massachusetts Institute of Technology"
Jose Roberto Ermirio de Moraes,66,$1.5B,Diversified,Diversified,N/A,N/A,FALSE,,,"Sao Paulo, Brazil",Brazil,M,Married,3,"Bachelor of Science, Insper Institute of Education & Research"
Jose Ermirio de Moraes Neto,71,$1.5B,Diversified,Diversified,Former Minister,Agriculture and Livestock of Brazil,FALSE,,,"Sao Paulo, Brazil",Brazil,M,Married,3,"Master of Business Administration, Fundacao Getulio Vargas"
Itzhak Ezratti & family,71,$1.5B,Real Estate,Homebuilding,Cofounder,GL Homes,TRUE,,,"Indian Creek, Florida",United States,M,N/A,3,N/A
Zheng Fan,45,$1.5B,Automotive,electric vehicles,co-founder and vice president,Autohome,TRUE,,,"Beijing, China",China,M,N/A,N/A,"Bachelor of Science, Hebei University of Science and Technology"
Nikolay Fartushnyak,58,$1.5B,Fashion & Retail,retail,founder,Sportmaster,TRUE,,,Switzerland,Russia,M,Married,3,"Master of Science in Engineering, Moscow Institute of Physics and Technology"
Daniel Feffer,64,$1.5B,Manufacturing,Pulp and paper,Chairman,Brazilian branch of the International Chamber of Commerce.,FALSE,,,"São Paulo, Brazil",Brazil,M,Married,N/A,"Law Degree, Universidade Presbiteriana Mackenzie"
Jorge Feffer & family,59,$1.5B,Manufacturing,pulp and paper,Founder,Suzano,FALSE,,,"São Paulo, Brazil",Brazil,M,Divorced,N/A,N/A
Ruben Feffer,N/A,$1.5B,Manufacturing,Pulp and paper,"composer, keyboard player, arranger, musical producer ,director",N/A,FALSE,,,"São Paulo, Brazil",Brazil,M,Married,N/A,N/A
Doris Fisher,92,$1.5B,Fashion & Retail,Gap,Co-founder,Gap Inc.,TRUE,7,2,"San Francisco, California",United States,F,Widowed,3,"Bachelor of Arts/Science, Stanford University"
William Fisher,67,$1.5B,Fashion & Retail,Gap,Director,Gap Inc.,FALSE,2,,"San Francisco, California",United States,M,Married,3,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford University"
Bernd Freier,67,$1.5B,Fashion & Retail,Fashion retail,founder,s.Oliver,TRUE,,,"Rottendorf, Germany",Germany,M,Married,2,N/A
Yasuhiro Fukushima,76,$1.5B,Media & Entertainment,Video games,founder,"gaming software firm Enix,",TRUE,,,"Tokyo, Japan",Japan,M,Married,N/A,"Bachelor of Arts/Science, Nihon University"
Gao Yi & family,55,$1.5B,Healthcare,Pharmaceuticals,Chairman,Yifeng Pharmacy Chain,TRUE,,,"Changsha, China",China,M,N/A,N/A,N/A
Alan Gerry,95,$1.5B,Media & Entertainment,Cable television,founder,Cablevision Industries,TRUE,,,"Liberty, New York",United States,M,Married,3,"Drop Out, High School"
Dan Gertler,50,$1.5B,Metals & Mining,Mining,"founder, president",DGI group,FALSE,,,"Bnei Brak, Israel",Israel,M,Married,11,"Diploma, High School"
Giammaria Giuliani,46,$1.5B,Healthcare,Pharmaceuticals,owner,Royalty Pharma,FALSE,,,"Montagnola, Switzerland",Switzerland,M,Married,N/A,N/A
Torstein Hagen,81,$1.5B,Service,Cruises,CEO,Viking Cruises,TRUE,,,"Lucerne, Switzerland",Norway,M,Divorced,2,"Bachelor of Science, Norwegian Institute of Technology, Master of Business Administration, Harvard University, Fulbright Scholar, Wesleyan University"
Junro Ito,65,$1.5B,Fashion & Retail,Retail,Managing executive officer,Seven & I Holdings Co,FALSE,,,"Tokyo, Japan",Japan,M,N/A,N/A,"MBA, Claremont Graduate University"
Yasuhisa Ito,N/A,$1.5B,Fashion & Retail,Retail,Chairman,Masatoshi Ito,FALSE,,,"Tokyo, Japan",Japan,M,N/A,N/A,N/A
Peter Jackson,62,$1.5B,Media & Entertainment,"Movies, digital effects",Director,Film,TRUE,,,"Wellington, New Zealand",New Zealand,M,Married,2,N/A
Stephen Jarislowsky,98,$1.5B,Finance & Investments,Money management,Co-founder and Chairman,Jarislowsky & Fraser,TRUE,,,"Montreal, Canada",Canada,M,Married,3,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Harvard University; Master of Arts, The University of Chicago"
Onkar Kanwar,81,$1.5B,Automotive,Tires,Former managing director,Apollo Tyres,FALSE,,,"Delhi, India",India,M,Married,3,"Bachelor of Science and Administration, University of California"
Andrew Karam,42,$1.5B,Media & Entertainment,mobile games,co-founder,mobile game developer AppLovin.,TRUE,,,"Menlo Park, California",United States,M,N/A,N/A,"Bachelor of Arts/Economics, Tufts University; Bachelor of Engineering, Tufts University"
Ke Xiping & family,63,$1.5B,Diversified,Investments,Chairperson,Xiamen Hengxing Group,TRUE,,,"Xiamen, China",China,M,Married,N/A,Xiamen University
Randal J. Kirk,70,$1.5B,Healthcare,Pharmaceuticals,"chairman, chief executive officer",Intrexon,TRUE,8,1,"Manalapan, Florida",United States,M,Married,3,"Bachelor of Arts/Science, Radford; Doctor of Jurisprudence, University of Virginia"
Koh Wee Meng,60,$1.5B,Real Estate,"Real estate, hotels",property magnate,N/A,TRUE,,,"Singapore, Singapore",Singapore,M,Married,1,N/A
Andrei Krivenko,48,$1.5B,Food & Beverage,Retail,founder,VkusVill,TRUE,,,"Moscow, Russia",Russia,M,Married,4,"Master of Science, Moscow Institute of Physics and Technology"
Lai Jianping,N/A,$1.5B,Food & Beverage,Soy sauce,politician,N/A,TRUE,,,"Foshan, China",China,M,N/A,N/A,N/A
Lau Cho Kun,88,$1.5B,Diversified,"Palm oil, property",shareholder,N/A,FALSE,,,"Tawau, Sabah, Malaysia",Malaysia,M,Married,1,N/A
Joe Lau,34,$1.5B,Technology,Blockchain technology,chairman,property developer Chinese Estates,TRUE,,,"Stanford, California",United States,M,Single,N/A,"Bachelor of Arts/Science, Stanford; Master of Arts/Science, Stanford"
Paul Lee,66,$1.5B,Manufacturing,Battery separators,video game developer,N/A,TRUE,8,,"Yuxi, China",United States,M,Married,N/A,"Master of Science, University of Massachusetts"
Lee Su-jin,46,$1.5B,Technology,Hospitality,film director,N/A,TRUE,,,"Seoul, South Korea",South Korea,M,Married,N/A,N/A
Lei Jufang,71,$1.5B,Healthcare,Pharmaceuticals,Chairperson,Tibet Cheezheng Tibetan Medicine,TRUE,,,"Lanzhou, China",China,F,Married,1,"Bachelor of Arts/Science, Xi'an Jiaotong University"
Bernard Lewis & family,98,$1.5B,Fashion & Retail,Fashion retailer,Founder,River Island Fashion,TRUE,,,"London, United Kingdom",United Kingdom,M,N/A,3,N/A
Jet Jie Li,49,$1.5B,Logistics,package delivery,"chairman, CEO",package delivery company J&T Global Express.,TRUE,,,"Shanghai, China",China,M,N/A,N/A,"Bachelor of Arts/Economics, University of Science and Technology Beijing"
Li Weiguo,59,$1.5B,Manufacturing,Construction materials,"cofounder ,chairman","Beijing Oriental Yuhong Waterproof Technology,",TRUE,,,"Beijing, China",China,M,Married,N/A,"Bachelor of Science, Hunan Agricultural University"
Sara Liu,62,$1.5B,Technology,Computer hardware,singer,N/A,TRUE,,,"San Jose, California",United States,F,Married,N/A,"Bachelor of Science, Providence University"
Aloke Lohia,65,$1.5B,Manufacturing,Petrochemicals,Founder,Indorama Ventures,FALSE,,,"Bangkok, Thailand",India,M,Married,3,"Bachelor of Commerce, Delhi University"
Brandt Louie,80,$1.5B,Food & Beverage,Drugstores,CEO,London Drugs,FALSE,,,"Vancouver, Canada",Canada,M,Married,2,"Bachelor of Commerce, University of British Columbia"
Yusaku Maezawa,48,$1.5B,Technology,Online retail,entrepreneur,N/A,TRUE,,,"Chiba, Japan",Japan,M,Divorced,1,N/A
George Marcus,82,$1.5B,Real Estate,Real estate,"co-founder , chairman",Marcus & Millichap,TRUE,,,"Los Altos Hills, California",United States,M,N/A,4,"Bachelor of Arts/Economics, San Francisco State"
Athanasios Martinos & family,74,$1.5B,Logistics,"Shipping, real estate",Owner,Greek shipping firm Eastern Mediterranean Maritime,TRUE,,,"Athens, Greece",Greece,M,N/A,2,"Bachelor of Science, Athens University School of Economics, Bachelor of Science, City College of London"
Jeffrey Michael & family,67,$1.5B,Technology,Data management,Founder,investor of healthcare technology company CorVel Corporation.,TRUE,,,"Minnetonka, Minnesota",United States,M,Married,4,N/A
Neide Helena de Moraes,69,$1.5B,Diversified,Diversified,Heir,Grupo Votorantim,FALSE,,,"Sao Paulo, Brazil",Brazil,F,Married,2,"Bachelor of Arts/Science, Universidade Presbiteriana Mackenzie"
Robert Mouawad,79,$1.5B,Service,Fine jewelry,N/A,N/A,FALSE,,,"Manama, Bahrain",Lebanon,M,Married,3,N/A
Ben Navarro,61,$1.5B,Finance & Investments,Investments,"founder , chief executive officer","Sherman Financial Group, LLC,",TRUE,,,"Charleston, South Carolina",United States,M,N/A,N/A,"Bachelor of Science, University of Rhode Island"
Park Soon-jae,69,$1.5B,Healthcare,Biopharmaceuticals,"cofounder ,CEO",South Korean biotechnology company Alteogen,TRUE,,,"Daejeon, South Korea",South Korea,M,Married,N/A,"Doctorate, Purdue University"
Tom Persson,39,$1.5B,Fashion & Retail,H&M,businessman,N/A,FALSE,,,"Stockholm, Sweden",Sweden,M,Married,N/A,"Bachelor of Arts/Science, Met Film School"
Catherine Phillips,N/A,$1.5B,Finance & Investments,investments,Film-maker,N/A,TRUE,,,"Toronto, Canada",Canada,F,Married,N/A,N/A
John Phillips,73,$1.5B,Finance & Investments,investments,leader,vocal group the Mamas & the Papas,TRUE,,,"Toronto, Canada",Canada,M,Married,N/A,"Law Degree, University of Toronto; Bachelor of Arts/Science, University of Toronto (Trinity College)"
G.V. Prasad,63,$1.5B,Healthcare,Pharmaceuticals,"co-chairman ,managing director",Dr. Reddy's Laboratories.,FALSE,,,"Hyderabad, India",India,M,Married,3,"Bachelor of Science in Engineering, Illinois Institute of Technology; Master, Purdue University"
Liesel Pritzker Simmons,40,$1.5B,Diversified,"Hotels, investments",actress,N/A,FALSE,,,"Concord, Massachusetts",United States,F,Single,N/A,"Bachelor of Arts, Columbia University"
Jimmy Rane,77,$1.5B,Manufacturing,Lumber,"founder, chairman , chief executive officer",Great Southern Wood Preserving,TRUE,,,"Abbeville, Alabama",United States,M,Married,3,"Bachelor of Arts/Science, Auburn University; Doctor of Jurisprudence, Samford University"
Krit Ratanarak,77,$1.5B,Media & Entertainment,"Media, real estate",Former Member,Senate of Thailand,FALSE,,,"Bangkok, Thailand",Thailand,M,Divorced,1,N/A
Igor Rotenberg,50,$1.5B,Diversified,"Investments, real estate",businessman,N/A,TRUE,,,"Moscow, Russia",Russia,M,Married,3,"Master, Higher School of Privatization and Business"
Ruan Shuilong & family,88,$1.5B,Manufacturing,Chemicals,shareholder,N/A,TRUE,,,"Shangyu, China",China,M,N/A,N/A,N/A
Gerald Schwartz,82,$1.5B,Finance & Investments,Finance,CEO,Onex,TRUE,,,"Toronto, Canada",Canada,M,Married,4,"Master of Business Administration, Harvard University"
Paul Sciarra,43,$1.5B,Technology,Pinterest,co-founder,Pinterest,TRUE,8,,"San Francisco, California",United States,M,Married,N/A,"Bachelor of Arts/Science, Yale University"
Sytse 'Sid' Sijbrandij,44,$1.5B,Technology,Software,"Co-founder ,Executive Chair",GitLab Inc.,TRUE,,,"San Francisco, California",Netherlands,M,Married,N/A,"Master of Science, University of Twente"
Charlotte Soderstrom,47,$1.5B,Fashion & Retail,H&M,businesswoman,N/A,FALSE,,,"Stockholm, Sweden",Sweden,F,Married,3,N/A
Timothy Springer,76,$1.5B,Healthcare,Biotech,Professor,Harvard Medical School.,TRUE,8,1,"Chestnut Hill, Massachusetts",United States,M,Married,N/A,"Doctorate, Harvard University; Bachelor of Science, University of California, Berkeley"
Hal Steinbrenner,55,$1.5B,Sports,Sports,"chairman ,managing general partner",Yankee Global Enterprises,FALSE,,,"Tampa, Florida",United States,M,Married,1,"Masters in Finance, University of Florida; Bachelor of Science, Williams College"
Jessica Steinbrenner,60,$1.5B,Sports,Sports,Executive Producer,N/A,FALSE,,,"Tampa, Florida",United States,F,Divorced,4,Sweet Briar College
Jennifer Steinbrenner Swindal,64,$1.5B,Sports,Sports,general partner,New York Yankees,FALSE,,,"Tampa, Florida",United States,F,Married,2,The University of North Carolina at Chapel Hill
Christopher Stolte,51,$1.5B,Technology,software,co-founder,data analytics company,TRUE,,,"Seattle, Washington",United States,M,Married,2,"Bachelor of Science, Simon Fraser University, Master of Science, Stanford University, Doctor of Philosophy, Stanford University"
Ling Tang,N/A,$1.5B,Media & Entertainment,Mobile games,dancer,N/A,TRUE,,,N/A,Canada,F,N/A,N/A,"Master of Arts, Columbia University, Bachelor of Arts, University of Maryland-College Park"
Jeff Tangney,51,$1.5B,Healthcare,Healthcare IT,CEO,Doximity,TRUE,9,1,"Palo Alto, California",United States,M,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Science, University of Wisconsin Madison"
Alain Taravella,76,$1.5B,Real Estate,Real estate development,CEO,Altarea SCA,TRUE,,,"Paris, France",France,M,N/A,N/A,"Bachelor of Science, HEC Paris"
Carmen Thyssen,80,$1.5B,Manufacturing,"Investments, art",socialite,N/A,FALSE,,,Andorra,Spain,F,Widowed,3,N/A
John Van Lieshout,78,$1.5B,Real Estate,Real estate,Owner,Amart Furniture store chain.,TRUE,,,"Brisbane, Australia",Australia,M,Married,3,"Diploma, High School"
Nikil Viswanathan,36,$1.5B,Technology,Blockchain technology,co-founder and CEO,"Alchemy, the blockchain company backed by Stanford University",TRUE,,,"San Francisco, California",United States,M,Single,N/A,"Bachelor of Arts/Science, Stanford; Master of Arts/Science, Stanford"
Arkady Volozh,60,$1.5B,Technology,Search engine,businessman,N/A,TRUE,,,"Tel Aviv, Israel",Russia,M,Married,7,"Master of Science, Gubkin Russian State University of Oil and Gas"
Chris Wallin,71,$1.5B,Metals & Mining,Mining,"Managing Director, Chairman","QCoal Group, QCoal Foundation",TRUE,,,"Brisbane, Australia",Australia,M,N/A,2,"Bachelor of Engineering, University of Queensland"
Wang Junmin,55,$1.5B,Healthcare,Pharmaceuticals,Chair Professor,N/A,TRUE,,,"Chengdu, China",China,M,Married,N/A,N/A
Stephen Winn,77,$1.5B,Real Estate,Real estate services,Founder,retail management software firm RealPage,TRUE,8,,"Dallas, Texas",United States,M,Married,N/A,"Master of Science, Stanford University; Bachelor of Arts/Science, The University of Texas at Austin"
Wu Lanlan & family,50,$1.5B,Manufacturing,Packaging,vice chairman,Shenzhen Yuto Packaging,TRUE,,,"Shenzhen, China",China,F,Married,2,"Master of Business Administration, Tongji University"
Wu Yulan,54,$1.5B,Healthcare,Pharmaceuticals,vice president,Jiangsu Hansoh Pharmaceutical Group,TRUE,,,"Lianyungang, China",China,F,N/A,N/A,N/A
